label	d_fpssm0	d_fpssm1	d_fpssm2	d_fpssm3	d_fpssm4	d_fpssm5	d_fpssm6	d_fpssm7	d_fpssm8	d_fpssm9	d_fpssm10	d_fpssm11	d_fpssm12	d_fpssm13	d_fpssm14	d_fpssm15	d_fpssm16	d_fpssm17	d_fpssm18	d_fpssm19
1	0.010232558	0.000930233	0.006976744	0.00744186	0	0.004186047	0.010697674	0.019534884	0.002790698	0.015813953	0.01627907	0.004186047	0.011162791	0.02	0.014883721	0.008837209	0.006511628	0.014418605	0.015348837	0.013023256
1	0.007307692	0.005	0.008461538	0.006153846	0	0.009230769	0.006923077	0.002307692	0.005769231	0.018846154	0.02	0.006153846	0.012307692	0.007307692	0.006153846	0.014230769	0.009230769	0.010769231	0.007307692	0.013846154
1	0.014871795	0.002051282	0.006666667	0.013333333	0.002564103	0.003589744	0.006153846	0.00974359	0.007692308	0.017435897	0.013846154	0.002051282	0.00974359	0.00974359	0.005641026	0.014871795	0.006153846	0	0.007692308	0.015897436
1	0.018181818	0.008636364	0.005909091	0.004090909	0.002272727	0.005454545	0.002727273	0.011818182	0	0.012272727	0.010454545	0.002272727	0.009545455	0.013636364	0.005454545	0.008636364	0.007727273	0.009545455	0.010909091	0.013181818
1	0.013846154	0.011282051	0.005641026	0.00974359	0	0.01025641	0.012307692	0.006153846	0.001538462	0.018461538	0.02	0.008205128	0.012820513	0.011282051	0.014358974	0.011794872	0.011794872	0.008205128	0.009230769	0.014871795
1	0.006956522	0.001304348	0.01	0	0.002173913	0	0.000869565	0.005652174	0.004347826	0.013913043	0.017826087	0.001304348	0.010434783	0.013478261	0.004782609	0.017826087	0.01	0.01173913	0.01173913	0.009565217
1	0.000377358	0.006037736	0.004528302	0.006415094	0	0.00490566	0.008679245	0.003773585	0.003773585	0.016603774	0.016226415	0.009433962	0.011698113	0.018113208	0.009433962	0.003396226	0.004150943	0.007169811	0.008679245	0.011698113
1	0.013	0.007	0.003	0.01	0.002333333	0.001666667	0.005666667	0.009	0	0.006666667	0.006666667	0.002333333	0.005	0.019	0.001666667	0.006666667	0.005333333	0.006333333	0.010333333	0.005666667
1	0.007333333	0.004666667	0.006	0.006666667	0	0.007333333	0.007666667	0.008	0.007333333	0.02	0.014666667	0.007	0.009666667	0.012	0.002666667	0.005333333	0.003	0.005666667	0.007	0.014666667
2	0.012333333	0.012333333	0.000666667	0.005	0	0.005	0.008	0.01	0	0.02	0.018333333	0.005	0.014666667	0.004	0	0.012	0.006666667	0.000333333	0.001333333	0.017
2	0.019636364	0.011272727	0.005818182	0.001818182	0.000363636	0.010181818	0.007272727	0.006909091	0.008	0.014909091	0.017818182	0.006545455	0.015272727	0.007636364	0	0.009454545	0.009454545	0.004363636	0.004727273	0.014909091
2	0.012142857	0.014642857	0.005	0.006071429	0.000714286	0.017857143	0.009642857	0.006785714	0.006071429	0.015357143	0.02	0.007142857	0.017857143	0.008928571	0	0.009285714	0.008571429	0.004642857	0.003928571	0.012142857
2	0.013684211	0.015263158	0.004736842	0.005263158	0.004210526	0.006315789	0.008947368	0.002631579	0	0.014210526	0.017894737	0.019473684	0.012105263	0.012105263	0.007894737	0.015789474	0.018421053	0.018421053	0.007368421	0.011578947
2	0.02	0.006666667	0.011904762	0.002380952	0	0.012380952	0.008571429	0.011428571	0.005714286	0.013333333	0.016666667	0.004761905	0.010952381	0.007142857	0.013333333	0.017142857	0.002857143	0.001904762	0.007142857	0.010952381
2	0.017297297	0.008648649	0.014594595	0.008108108	0.012972973	0.007027027	0.009189189	0.017297297	0	0.017297297	0.019459459	0.015675676	0.016216216	0.011891892	0.003783784	0.02	0.011891892	0.018918919	0.008648649	0.011351351
2	0.017692308	0.013846154	0.001153846	0.004615385	0	0.009230769	0.007307692	0.011923077	0.006153846	0.016153846	0.02	0.007307692	0.013076923	0.004615385	0	0.012307692	0.006923077	0.001153846	0.004615385	0.013076923
2	0.004444444	0.007301587	0.006984127	0	0.001904762	0.007619048	0.002539683	0.002539683	0.00952381	0.019365079	0.015873016	0.009206349	0.015555556	0.004444444	0.003809524	0.006031746	0.005396825	0.004126984	0.006666667	0.012380952
2	0.011914894	0.015744681	0.002978723	0.003829787	0	0.016595745	0.00893617	0.008510638	0.000425532	0.016170213	0.017446809	0.012765957	0.02	0.008510638	0.008510638	0.007659574	0.006808511	0.005957447	0.004255319	0.014042553
2	0.013023256	0.019534884	0.004651163	0.002790698	0.00372093	0.017209302	0.011627907	0.005116279	0	0.013488372	0.016744186	0.011162791	0.015348837	0.007906977	0.003255814	0.013488372	0.008837209	0.000930233	0.00372093	0.009767442
